"Deal_ID","AI_CAP","CULT","STRUCT","SIZE","DYN","OUT"
171,0.0503640379109603,0.67,0.67,0.874618186657232,0.0500000000000001,0.763686946716699
54,0.0469671261767974,0.67,0.95,0.992900560860528,1,0.996125167493201
3,0.0532908602475059,0.33,0.95,0.0679969513794748,0.999749452151132,0.068597941182356
46,0.0530275942631657,0.33,0.95,0.0760078281728278,0.95,0
55,0.0519471171793992,0.67,0.67,0.108657471547118,1,0.713654626277315
11,0.0519471171793992,0.67,0.95,0.64363354478288,0.941016050185202,0.000115321986309743
43,0.736087698041927,0.67,0.33,0.0366886782107239,1,0.209945995457496
50,0.802091067596389,0.33,0.95,0.528379662192938,0.502184288017853,0.925764035487005
69,0.99807488957341,0.67,0.67,0.34341110780185,0.461062581948536,0.733988937974213
188,0.244736123500283,0.67,0.95,0.150896371870907,0.0500000000000001,0.680270554080604
151,1,0.33,0.95,1,0.944778205177169,1
78,0.991566216952049,0.67,0.67,0.0180465388665964,0.461062581948536,0.0184314468718334
58,0.736087698041927,0.33,0.95,0.821492959101371,1,0.392925042252266
40,0.736087698041927,0.67,0.67,0.0870340316643354,0.95,0.00201568416022784
32,0.0469671261767974,0.33,0.95,0.751204671993934,1,0.572327277405714
137,0.994693284936462,0.33,0.67,0.0156713144810256,0.944778205177169,0.139464161619889
75,0.0722173485328906,0.67,0.67,0.862156171579305,0.461062581948536,0.959442432240669
35,0.736087698041927,0.67,0.67,0.0457245585912588,0.481800382447473,0.0109168447788357
181,0.5867546718957,0.67,0.95,0.0351850053736403,0.0500000000000001,0.0517448099733515
125,0.972849825011072,0.67,0.95,1,0.944778205177169,0.0987104120389043
107,0.00809505251312052,0.33,0.95,1,0.461062581948536,1
31,0.0505484799046479,0.67,0.95,1,1,0.997345326957822
65,0.190929643721312,0.33,0.95,0.723452322810595,0.461062581948536,0.00282290660697096
18,0.0469671261767974,0.33,0.95,0.913417018187528,0.999749452151132,0.972888591568922
96,0.10026323425643,0.33,0.95,0.543180051040595,0.461062581948536,0.0140848880800699
53,0.994752853182388,0.67,0.67,0.0144702483362165,1,0.173703884690502
174,1,0.67,0.67,0.242064091971269,0.0500000000000001,0.975766628163542
194,0.556130656853691,0.33,0.95,0.383394493453401,0.0500000000000001,0.579133194204857
186,0.956646100988489,0.67,0.67,0.720249571441623,0.0500000000000001,0.00341526331477184
127,0.178823670742225,0.67,0.67,1,0.944778205177169,0.996868060373644
68,0.0141286955389556,0.67,0.67,0.997961342495223,0.461062581948536,0.482195350577484
33,0.0469671261767974,0.67,0.95,0.711013317335444,1,0.935472855784998
94,0.00671161213406864,0.67,0.67,0.46524049976953,0.461062581948536,0
41,0.736087698041927,0.67,0.95,0.278998102489993,1,0.914848087478802
27,0.0515030872671656,0.67,0.95,0.746480381177628,1,0.970961245118128
180,0.147938593555538,0.67,0.67,0.0292394409250396,0.0500000000000001,0.082428012148143
166,0.257989275200203,0.67,0.95,0.0379046586619386,0.944778205177169,0.524838687312714
23,0.0489227885647447,0.67,0.95,0.99983159609577,1,0.882375423090338
164,0.684676870151324,0.67,0.67,0.0986520884615509,0.944778205177169,0.971511894952858
167,0.999813791501853,0.67,0.67,0.0656322411807401,0.944778205177169,0.672998029471365
146,0.863934096330623,0.67,0.95,0.0476855983625163,0.944778205177169,0.00272791073671942
